id,value
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Broadening our Boa_224120904,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Broadening Our Boa_227410205,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Building our Indus_174379290,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Business Support' _215894248,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Buying for Schools_250508012,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Cabinet Office ana_87801786,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Cabinet Office in _234202218,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Cabinet Office Tec_77491533,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'CDDO' subdomain_240721388,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Centre for Data Et_209317220,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'CESG Digital' subd_90605388,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Charity Commission_115656760,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Civil Service Fast_114436620,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Civil Service fast_92219409,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Civil Service Lear_114880551,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Civil Service Loca_86072586,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Civil service' sub_86362506,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Commission for Cou_170631334,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Community Interest_121398729,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Companies House' s_92209825,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Competition and Ma_87915986,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Connecting to Pati_77305191,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Cross-border growt_168075362,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'CSPL' subdomain_94463526,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Data in government_78046334,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Data' subdomain_77531012,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'DCMS libraries' su_84178088,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'DECC' subdomain_91775960,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Defence Digital' s_206712864,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Defence science' s_87914783,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Defra digital' sub_94198711,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Defra e-Sustainabi_202280789,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Defra Farming' sub_227391311,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Defra in the media_161259406,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Delivering DWP tec_79940039,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Department for Int_130578220,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Department of Heal_94203007,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Design 102' subdomain_75787164,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Design notes' subd_79117194,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Despatch' subdomain_80096110,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Developing the NHS_95410512,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Developments in ed_90630355,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'DfE Digital' subdo_156742085,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'DfID' subdomain_73937203,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'DfT digital' subdo_127647959,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'DHSC healthcare le_130488945,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Digital health' su_86977608,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Digital inclusion'_115478461,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Digital marketplac_84596375,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Digital people' su_94776080,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Digital Skills Par_168562464,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Digital trade' sub_79124389,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Disability Unit' s_233706796,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'DLUHC Digital' sub_176746305,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'DLUHC in the Media_217516580,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Dragons Den' subdo_88470503,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'DVLA digital' subd_73699758,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'DVSA digital' subd_134076139,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'DWP Digital' NEW s_135161544,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'DWP Digital' subdo_73923660,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Education Hub' sub_121727147,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Emergency manageme_130154594,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Employment law' su_83932301,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Environment Agency_77582953,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'EU Single Market' _78810982,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Food' subdomain_221780131,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Foresight projects_132192104,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Forestry Commissio_195465858,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Future of ageing' _92685875,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Future of cities' _79201794,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'GDS digital engage_84106573,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'GDS technology' su_75781077,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'GDS' subdomain_80956096,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'GDS' subdomain INT_168294692,1
GOV.UK - Blogs_40442074.GOV.UK Blog Platform (_UA-40442074-1.2. 'Geography' subdomain_226571572,1
